year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,1656700,36120,193100,73150,2625,12460,57150,17180,93570,106950,34400,626705,118220,50690,193145,23925,80700,52880,94845,124025,291570,1030000
2001,1726840,37225,199765,73205,2880,12315,54830,17795,99645,107460,35065,640185,126540,53975,197875,26670,83140,56415,101040,133455,307540,1086650
2002,1807660,38535,218435,99070,2905,11880,57215,22110,113510,106395,35985,706040,139255,65375,231450,35215,106195,69635,114555,137545,202400,1101625
2003,1868415,41660,237870,119865,2815,12245,59600,26325,118085,109295,37680,765440,161575,70655,248085,38575,110200,84665,121225,156075,111935,1102990
2004,1895825,43980,247370,120930,3110,12045,64655,26465,112785,112025,38890,782255,162595,72880,248335,39615,107855,80785,128740,163145,109625,1113575
2005,1936420,47265,255485,125625,3165,14260,67760,27925,101765,110515,45045,798810,168500,75205,251090,40350,112545,82990,135350,173075,98495,1137600
2006,1957195,50390,248635,133235,3470,13075,68300,29095,88660,113670,48555,797085,168580,76150,255900,40605,113360,84690,139510,180970,100335,1160100
2007,1922180,49650,235260,133465,3545,14695,66330,29730,80380,113790,51475,778320,167340,75015,258610,41375,108860,79205,138650,170090,104710,1143855
2008,2005840,50655,241200,142690,3815,15260,70230,31580,81020,121570,52390,810410,175965,77630,275375,42165,107370,75995,143215,183675,114045,1195435
2009,2093640,52515,252775,151835,3955,15805,74635,34380,84295,128325,53730,852250,184635,79310,293640,45845,113915,78455,152245,193005,100340,1241390
2010,2097215,53325,248770,157605,4110,17600,76965,36275,82380,131015,50960,859005,187315,77675,294490,46295,111475,79140,155075,190655,96100,1050905
2011,2097230,54340,249515,166045,4095,18110,78245,38195,79695,131915,47690,867845,191060,78245,300850,47580,112880,82790,160000,170215,85770,1038330
2012,1944995,53125,231465,166660,4235,15665,76190,37205,73150,126815,43475,827985,181815,74455,276530,43570,102775,77305,150460,148395,61705,935195
2013,1875020,53475,224545,167800,4395,14740,75110,36330,72195,125925,40280,814795,175815,74710,274290,42955,95315,72655,146405,139860,38220,884410
2014,1844095,52370,226820,169705,4345,15355,75255,36185,73380,127175,39225,819815,173290,73415,266175,42045,90470,69750,144610,131905,32605,850975
2015,1861345,52235,233670,176195,5255,15090,75680,36575,76125,129465,40190,840480,178305,74215,269120,42880,87815,68775,147190,124395,28175,842565
2016,1891980,52020,237615,183615,5605,14605,75810,37350,79905,130685,41760,858970,185455,74915,276855,43655,86070,68390,152940,119435,25305,847565
2017,1911940,52885,233525,189270,6310,14545,76320,37730,84665,130560,43720,869530,191935,76995,286975,44565,81905,66895,155630,114950,22560,850475
2018,1942535,54625,234005,195705,6770,15150,75130,38635,90195,130855,45235,886305,198700,79080,300685,44395,77930,65110,158475,112280,19580,857535
