year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,1017110,29590,97815,62460,2470,9770,49350,15645,68990,81985,20390,438465,85465,38420,120295,19460,57315,32290,81295,61195,82930,578665
2001,1050540,30665,102960,62385,2730,9835,47465,15990,75180,82545,19960,449715,86335,41410,125435,22005,56995,33285,86325,63280,85760,600830
2002,1105285,31895,111150,84200,2780,9355,50165,19105,85890,82045,20195,496780,97010,49195,153320,30065,74115,44425,98075,55175,7135,608515
2003,1148060,34895,118190,89225,2690,9730,50325,19345,81900,81890,21505,509695,103050,51285,159105,32920,72725,47695,103645,59325,8620,638370
2004,1174675,36960,126075,92385,2910,9515,50960,19775,75045,82805,22420,518850,107605,53800,162665,34020,70870,47405,109810,63200,6460,655835
2005,1173555,38235,129525,94125,2895,9485,50080,20015,65265,78875,25255,513755,107525,54140,158575,34460,70270,47520,115265,65105,6930,659790
2006,1187630,40110,129145,98585,3155,9215,50810,21055,59065,80445,26945,518530,108355,54380,161865,34845,70915,48140,118595,65505,6490,669090
2007,1218810,41605,125605,102440,3340,9535,52325,22195,56870,84705,28950,527570,113670,54950,170255,36290,72290,49010,122405,66835,5530,691235
2008,1170470,42275,125420,107015,3445,9955,54560,23465,58850,89940,30730,545655,120540,57000,184035,36865,73195,49170,29155,70000,4860,624820
2009,1345675,43540,130890,114020,3490,10720,57485,25420,61805,97160,33315,577845,127330,59080,199585,40090,76675,50970,134980,74210,4895,767815
2010,1382655,44365,134440,119385,3590,11330,60690,27245,62190,100330,33110,596680,131455,59320,205345,41380,78135,52420,139235,74735,3970,598680
2011,1423870,45075,136195,126785,3675,12060,63625,28860,60725,101285,32315,610605,137815,60155,213375,43130,80700,54110,144480,74445,5055,622205
2012,1385330,44315,132705,128190,3770,11005,63935,29395,57000,99305,30615,600235,136180,58330,207600,39870,76555,52310,137945,72325,3975,603275
2013,1393475,44345,130675,133660,3865,10625,65435,30000,57350,101450,29445,606850,136915,59190,212055,39700,75110,51715,135045,73735,3155,610805
2014,1391690,44115,130755,137085,3920,10775,66625,30245,58665,103360,28480,614030,138065,59020,210575,38990,71995,50915,133400,71650,3035,604355
2015,1431780,44390,137995,143465,4110,10765,67765,30925,61195,105145,28790,634550,144810,59960,218455,40245,71065,52875,136570,70430,2830,618930
2016,1482880,44285,148465,150425,4350,10755,68515,32115,65190,107255,29715,661075,153280,61610,229695,41045,70570,54385,140135,68310,2775,636360
2017,1520950,44885,151790,154570,4710,10750,69285,32745,69190,108285,31676,677495,160860,63735,241050,41970,68210,54455,142110,68250,2815,651520
2018,1552500,46855,153320,115020,4950,11290,68125,33585,73495,108810,32365,691150,166800,66180,252530,41735,65600,53455,144455,67870,2720,662655
