year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,639590,6530,95285,10690,155,2690,7800,1535,24580,24965,14010,188240,32755,12270,72850,4465,23385,20590,13550,62830,208640,451335
2001,676300,6560,96805,10820,150,2480,7365,1805,24465,24915,15105,190470,40205,12565,72440,4665,26145,23130,14715,70175,221780,485820
2002,702375,6640,107285,14870,125,2525,7050,3005,27620,24350,15790,209260,42245,16180,78130,5150,32080,25210,16480,82370,195265,493110
2003,720355,6765,119680,30640,125,2515,9275,6980,36185,27405,16175,255745,58525,19370,88980,5655,37475,36970,17580,96750,103315,464620
2004,721150,7020,121295,28545,200,2530,13695,6690,37740,29220,16470,263405,54990,19080,85670,5595,36985,33380,18930,99945,103165,457740
2005,762865,9030,125960,31500,270,4775,17680,7910,36500,31640,19790,285055,60975,21065,92515,5890,42275,35470,20085,107970,91565,477810
2006,769565,10280,119490,34650,315,3860,17490,8040,29595,33225,21610,278555,60225,21770,94035,5760,42445,36550,20915,115465,93845,491010
2007,703370,8045,109655,31025,205,5160,14005,7535,23510,29085,22525,250750,53670,20065,88355,5085,36570,30195,16245,103255,99180,452620
2008,835370,8380,115780,35675,370,5305,15670,8115,22170,31630,21660,264755,55425,20630,91340,5300,34175,26825,114060,113675,109185,570615
2009,747965,8975,121885,37815,465,5085,17150,8960,22490,31165,20415,274405,57305,20230,94055,5755,37240,27485,17265,118795,95445,473575
2010,714560,8960,114330,38220,520,6270,16275,9030,20190,30685,17850,262325,55860,18355,89145,4915,33340,26720,15840,115920,92130,452225
2011,673360,9265,113320,39260,420,6050,14620,9335,18970,30630,15375,257240,53245,18090,87475,4450,32180,28680,15520,95770,80715,416125
2012,559665,8810,98760,38470,465,4660,12255,7810,16150,27510,12860,227750,45635,16125,68930,3700,26220,24995,12515,76070,57730,331920
2013,481545,9130,93870,34140,530,4115,9675,6330,14845,24475,10835,207945,38900,15520,62235,3255,20205,20940,11360,66125,35065,273605
2014,452405,8255,96065,32620,425,4580,8630,5940,14715,23815,10745,205785,35225,14395,55600,3055,18475,18835,11210,60255,29570,246620
2015,429565,7845,95675,32730,1145,4325,7915,5650,14930,24320,11400,205930,33495,14255,50665,2635,16750,15900,10620,53965,25345,223635
2016,409100,7735,89150,33190,1255,3850,7295,5235,14715,23430,12045,197895,32175,13305,47160,2610,15500,14005,12805,51125,22530,211205
2017,390990,8000,81735,34700,1600,3795,7035,4985,15475,22275,12044,192035,31075,13260,45925,2595,13695,12440,13520,46700,19745,198955
2018,390035,7770,80685,80685,1820,3860,7005,5050,16700,22045,12870,195155,31900,12900,48155,2660,12330,11655,14020,44410,16860,194880
