year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2003,3140,0,275,90,0,145,35,0,245,280,40,1110,350,10,480,85,20,0,640,445,0,2030
2004,6180,0,495,115,0,255,65,0,445,465,90,1930,705,15,960,155,20,20,985,1390,0,4250
2005,9280,0,815,235,0,425,105,0,765,610,170,3125,730,40,1240,230,15,15,1495,2385,5,6155
2006,11635,0,1160,390,0,580,125,5,825,720,255,4060,1045,100,1600,265,25,80,1975,2485,0,7575
2007,14970,0,1405,605,0,765,150,0,970,970,405,5270,1415,210,2230,280,10,55,2295,3135,70,9700
2008,18850,0,1715,885,0,905,220,0,940,1180,415,6260,2015,200,2675,365,240,130,2915,3970,75,12585
2009,24865,0,2310,1165,0,1075,315,0,1080,1795,635,8375,3095,315,3665,485,15,205,3690,5020,5,16495
2010,27305,0,2750,1500,0,1280,370,0,1315,1945,800,9960,3210,230,3785,520,390,245,4020,4945,0,17345
2011,27145,0,3000,1580,0,1220,535,0,1075,1940,640,9995,2960,145,3830,530,15,470,3825,5370,5,17150
2012,25240,0,2940,1825,0,1370,495,0,1055,1875,575,10130,2400,95,3640,480,15,360,3535,4580,15,15120
2013,18930,0,2115,1265,0,935,510,0,660,1660,295,7440,1960,115,2665,375,15,355,2230,3740,40,11495
2014,16875,0,1905,1205,0,870,315,0,580,1425,225,6535,1895,115,2515,190,10,255,1960,3375,25,10340
2015,14855,0,2085,1180,0,915,185,0,590,1405,135,6490,1520,150,1845,110,10,170,1410,3150,5,8365
2016,13570,0,2410,1025,0,875,185,0,400,1385,205,6490,1310,45,1530,130,10,75,1190,2795,0,7085
2017,12375,0,2170,895,0,805,210,0,520,1265,155,6020,1110,45,1180,125,20,75,1095,2695,10,6355
2018,11850,0,3035,875,0,775,190,0,395,865,150,6285,1065,30,990,95,10,70,985,2320,5,5565
