year,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects,totalStudents
2000,10,13740,700,10,1220,290,80,3005,2015,485,21555,2120,190,4805,295,130,65,2130,755,755,11245,32800
2001,10,17020,560,15,995,265,75,3345,2020,400,24705,2250,170,4685,465,155,80,2355,855,580,11595,36300
2002,50,9720,825,30,995,290,65,3610,1785,410,17780,2440,305,5240,425,180,215,2515,630,180,12130,29910
2003,20,5970,880,10,730,230,65,2920,1695,480,13000,2295,310,4570,410,195,240,2115,600,185,10920,23920
2004,40,17965,940,5,625,265,90,2440,1660,445,24475,1965,390,4060,415,205,330,2130,980,160,10635,35110
2005,65,18490,835,0,460,250,50,1775,1520,490,23935,1475,270,3605,400,230,300,1940,850,130,9200,33135
2006,50,17455,840,0,315,295,55,1605,1400,630,22645,1465,250,3105,375,240,370,1695,420,150,8070,30715
2007,70,17595,855,0,230,395,90,1235,1680,670,22820,1445,300,2845,290,450,295,1710,820,100,8255,31075
2008,60,15410,790,0,285,350,90,1005,1315,635,19940,1170,215,2400,315,260,320,1190,340,75,6285,26225
2009,85,13100,840,0,240,400,85,1085,1215,640,17690,1090,225,2340,320,245,320,1175,550,95,6360,24045
2010,105,12090,870,0,230,355,85,1100,1270,600,16700,1025,255,2320,310,300,355,1120,370,165,6220,22930
2011,225,12715,880,0,200,365,105,995,1190,565,17240,1215,290,2460,375,285,380,1335,430,225,6995,24230
2012,145,12540,960,5,190,375,135,965,1325,465,17100,1145,280,2395,335,280,410,1145,475,260,6725,23820
2013,130,9940,970,5,210,375,125,945,1090,345,14135,835,255,2090,245,300,410,1080,355,295,5865,20000
2014,0,160,290,0,410,95,0,435,2115,610,4110,420,15,1195,30,0,10,365,0,0,2040,6150
2015,0,170,215,0,235,85,0,420,2055,785,3970,535,20,1150,40,0,0,355,95,0,2200,6170
2016,0,165,265,0,450,105,0,420,1940,865,4210,330,15,1110,30,0,0,365,230,0,2085,6295
2017,0,155,255,0,335,100,0,350,1880,790,3870,335,35,995,20,0,0,310,230,0,1920,5785
2018,0,160,245,0,425,80,0,335,1760,685,3690,320,25,820,20,0,0,305,255,0,1740,5430
