year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,46320,1405,6930,2370,0,450,1550,430,3835,2550,1410,20930,3540,980,6225,825,2815,1515,1540,3525,4425,25390
2001,48845,1440,7575,2355,0,465,1600,375,4220,2670,1475,22175,3565,1085,6245,705,3005,1625,1790,4065,4595,26680
2002,50555,1405,8950,2870,0,385,1560,390,4615,3080,1600,24855,4655,1645,7540,790,3645,2150,2080,3190,0,25695
2003,52405,1420,10085,2845,0,475,1675,380,3975,3115,1815,25785,4615,1795,7540,740,3735,2110,2040,4040,0,26615
2004,54495,1490,10690,3035,0,465,1720,440,3640,3160,2060,26700,4675,1980,7600,785,3760,2305,2245,4460,0,27810
2005,54625,1630,10320,3170,0,440,1755,395,3345,3320,2235,26610,4620,2005,7670,905,3670,2260,2355,4535,0,28020
2006,50330,1780,8395,3660,0,420,1735,420,2855,2995,2255,24515,4255,1975,6910,850,3215,2105,2295,4225,0,25830
2007,48195,1640,8445,2650,0,465,1760,365,2630,2850,2250,23055,3890,2025,6885,890,2045,1575,2025,3695,2115,25145
2008,48245,1715,8220,2675,0,435,1805,375,2410,2850,2515,23000,3860,2205,6960,950,1990,1435,2095,5515,235,25245
2009,46680,1845,8345,2845,0,480,1735,350,2675,3170,2460,23905,4305,2415,7975,1080,2055,1435,2215,5475,125,22775
2010,52000,1995,7925,3010,0,460,1760,350,2655,3360,2410,23925,4460,2285,8375,1105,2090,1465,2175,6045,75,23615
2011,51905,1955,7915,3120,0,425,1510,375,2790,3135,2070,23295,4520,2155,8895,1085,1920,1360,2125,6025,530,24095
2012,51715,2030,7710,3000,0,480,1665,380,3055,3270,1855,23445,4485,1940,8460,1045,1865,1295,2130,6220,840,28280
2013,56395,2085,7740,3590,0,580,1820,530,3890,3630,1695,25560,5065,2030,8335,990,2080,1530,2140,6770,1890,25765
2014,56445,2075,7745,3845,0,655,1740,560,4150,3730,1590,26090,4830,2075,8270,840,1895,1520,2325,6750,1850,25525
2015,55245,2095,7960,3800,0,610,1760,575,4285,3755,1545,26385,4785,2110,7690,790,1890,1415,2270,6415,1500,24080
2016,54570,2085,8515,3565,0,585,1705,570,4240,3835,1575,26675,4625,2250,7520,805,1795,1280,2155,6310,1145,23260
2017,54460,2160,8595,3620,0,475,1715,585,4360,3875,1615,27000,4650,2210,7500,900,1700,1220,2035,6365,885,22815
2018,55755,2130,9525,3745,0,510,1710,585,4440,3980,1515,28140,4735,2480,7745,970,1590,1145,2055,6025,870,22880
