year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,30810,1245,3840,2115,0,315,1395,390,2710,2270,1155,15435,1955,810,3320,670,1330,880,1340,2180,2895,15380
2001,33215,1285,4275,2065,0,325,1350,365,3240,2360,1200,16465,2215,910,3545,610,1400,920,1505,2435,3220,16760
2002,34925,1255,4775,2440,0,280,1355,380,3715,2735,1300,18235,3150,1395,4640,715,1890,1445,1700,1740,0,16675
2003,35460,1280,5220,2460,0,385,1420,345,3240,2630,1465,18445,3075,1480,4595,655,1850,1385,1615,2350,0,17005
2004,37010,1325,6005,2550,0,350,1450,360,2985,2695,1680,19400,3180,1655,4565,720,1875,1440,1785,2390,0,17610
2005,35675,1370,5420,2555,0,330,1380,380,2740,2490,1815,18480,3010,1570,4585,810,1780,1385,1835,2225,0,17200
2006,34120,1475,4945,2590,0,330,1320,400,2485,2445,1795,17785,2855,1575,4290,765,1675,1300,1720,2170,0,16350
2007,33740,1505,4880,2300,0,390,1365,360,2250,2365,1840,17255,2840,1700,4130,795,1675,1280,1865,2050,155,16490
2008,34550,1600,4955,2395,0,360,1410,355,2180,2420,2150,17825,2815,1925,4435,860,1645,1180,1935,1900,30,16725
2009,31210,1625,5205,2480,0,385,1370,335,2205,2650,2090,18345,3015,1995,4565,915,1640,1175,1970,1865,45,12880
2010,36520,1680,5310,2675,0,410,1400,325,2350,2910,2035,19105,3205,1925,4585,980,1665,1225,1950,1865,15,12955
2011,36980,1670,5235,2720,0,375,1250,340,2510,2795,1730,18620,3265,1765,5820,930,1565,1170,1970,1875,15,13855
2012,36845,1720,5065,2605,0,395,1390,360,2735,2940,1540,18760,3205,1580,5870,905,1555,1135,1965,1870,5,18090
2013,37505,1750,4985,2685,0,490,1415,385,3260,3175,1375,19525,3190,1515,5845,850,1560,1135,1955,1835,85,12905
2014,38280,1775,5080,2930,0,540,1390,420,3525,3255,1270,20185,3115,1630,5990,730,1470,1165,2095,1845,50,13265
2015,37545,1805,5135,2830,0,520,1410,425,3585,3220,1235,20170,3125,1680,5420,670,1460,1100,2050,1870,5,12595
2016,37825,1835,5475,2760,0,490,1380,430,3515,3350,1240,20470,3130,1840,5465,700,1370,1015,1940,1885,0,12720
2017,38005,1885,5545,2770,0,370,1420,435,3465,3425,1285,20605,3180,1770,5470,815,1325,975,1825,2045,5,12760
2018,37935,1865,5945,2750,0,410,1375,420,3340,3420,1235,20755,3160,1970,5260,840,1210,885,1820,2025,0,12440
