year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,15510,160,3090,255,0,135,155,40,1125,280,255,5495,1585,170,2905,155,1485,635,200,1345,1530,10010
2001,15630,155,3300,290,0,140,250,10,980,310,275,5710,1350,175,2700,95,1605,705,285,1630,1375,9920
2002,15630,150,4175,430,0,105,205,10,900,345,300,6620,1505,250,2900,75,1755,705,380,1450,0,9020
2003,16945,140,4865,385,0,90,255,35,735,485,350,7340,1540,315,2945,85,1885,725,425,1690,0,9610
2004,17485,165,4685,485,0,115,270,80,655,465,380,7300,1495,325,3035,65,1885,865,460,2070,0,10200
2005,18950,260,4900,615,0,110,375,15,605,830,420,8130,1610,435,3085,95,1890,875,520,2310,0,10820
2006,16210,305,3450,1070,0,90,415,20,370,550,460,6730,1400,400,2620,85,1540,805,575,2055,0,9480
2007,14455,135,3565,350,0,75,395,5,380,485,410,5800,1050,325,2755,95,370,295,160,1645,1960,8655
2008,13695,115,3265,280,0,75,395,20,230,430,365,5175,1045,280,2525,90,345,255,160,3615,205,8520
2009,15470,220,3140,365,0,95,365,15,470,520,370,5560,1290,420,3410,165,415,260,245,3610,80,9895
2010,15480,315,2615,335,0,50,360,25,305,450,375,4820,1255,360,3790,125,425,240,225,4180,60,10660
2011,14925,285,2680,400,0,50,260,35,280,340,340,4675,1255,390,3075,155,355,190,155,4150,515,10240
2012,14870,310,2645,395,0,85,275,20,320,330,315,4685,1280,360,2590,140,310,160,165,4350,835,10190
2013,18890,335,2755,905,0,90,405,145,630,455,320,6035,1875,515,2490,140,520,395,185,4935,1805,12860
2014,18165,300,2665,915,0,115,350,140,625,475,320,5905,1715,445,2280,110,425,355,230,4905,1800,12260
2015,17700,290,2825,970,0,90,350,150,700,535,310,6215,1660,430,2270,120,430,315,220,4545,1495,11485
2016,16745,250,3040,805,0,95,325,140,725,485,335,6205,1495,410,2055,105,425,265,215,4425,1145,10540
2017,16455,275,3050,850,0,105,295,150,895,450,330,6395,1470,440,2030,85,375,245,210,4320,880,10055
2018,17820,265,3580,995,0,100,335,165,1100,560,280,7385,1575,510,2485,130,380,260,235,4000,870,10440
