year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2005,168850,0,2180,11660,0,0,7885,5415,11640,4650,5,43430,18530,3880,10840,0,9200,11260,495,8550,62640,125395
2006,176560,0,1450,13685,0,0,6795,5590,9300,5770,5,42590,20185,3900,12520,0,9460,11195,450,9425,66840,133975
2007,181690,0,1915,14705,0,0,7275,5815,9030,5715,0,44455,20235,3955,13870,0,10705,11300,460,10340,66370,137235
2008,193835,0,2240,16180,0,0,9480,6325,8745,5880,0,48850,19380,4105,15070,0,11665,10470,400,10165,73730,144985
2009,263850,0,2575,18995,0,0,10255,7020,8860,6440,0,54145,20355,4425,16570,0,12525,11725,1090,11415,77455,155560
2010,208710,0,3150,19510,0,0,9140,6935,8475,6360,0,53570,19815,4750,16380,0,12650,12575,1000,11225,76740,155135
2011,201270,0,4600,20235,0,0,8400,7335,8530,6395,0,55495,18830,5205,15440,0,12735,13695,935,11115,67810,145765
2012,168215,0,4435,18885,0,0,6425,6135,7640,6030,5,49550,15665,5385,13160,5,11010,12760,910,9550,50210,118655
2013,150840,0,4120,19000,0,0,5735,5495,7915,5790,0,48055,14075,5455,14240,0,9880,11780,965,8550,37825,102770
2014,132360,0,3860,18745,0,0,4905,5180,7760,5635,5,46085,11945,4880,11795,0,8600,10680,1365,7310,29700,86275
2015,126620,0,4100,19065,0,0,4610,4995,8095,5550,10,46415,11250,5580,10260,0,7940,9575,1720,6885,26980,80190
2016,121620,0,4295,18845,0,0,4305,4595,7980,5635,15,45655,10545,5600,9945,0,7320,8035,2750,7120,24630,75945
2017,117935,0,4245,19630,0,5,4065,4415,8815,5725,15,46900,10135,5840,10035,0,6550,6750,3355,7455,20895,71015
2018,122360,0,4580,21875,0,0,4355,4595,9595,6235,20,51235,11060,6235,11095,0,6460,6370,3995,8210,17675,71100
