year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,180305,6220,22915,11880,1190,1525,6970,2160,7755,12870,5760,79245,11065,4960,25055,2475,7105,5655,5805,12985,25960,101065
2001,196980,6315,26760,12515,1225,1450,6715,2915,8965,14925,5865,87650,12065,5340,28015,2950,7165,5705,6365,14560,27170,109335
2002,197365,6550,28030,14915,935,1395,7600,2810,10220,14520,6070,93045,14215,6395,29820,3525,8970,7665,7895,18820,7005,104310
2003,205155,6910,29245,15585,1270,1405,7795,3190,10290,14685,6120,96495,15315,6780,29400,3525,8935,7670,8325,20825,7885,108660
2004,210600,7035,30075,15875,1270,1440,7935,3585,9835,14810,6545,98405,16065,7120,28545,3595,9420,7925,8580,21230,9710,112190
2005,215830,6940,31015,16135,1305,1450,8525,3215,10395,14985,6735,100700,16540,7820,29630,3315,9915,8035,9035,18085,12760,115135
2006,223530,7110,30620,16960,1405,1395,9375,3380,10675,15920,7250,104090,17035,8150,30515,3225,10475,8155,9215,18845,13835,119450
2007,210185,6845,31180,15865,1305,1350,9545,3150,8005,14970,6960,99175,16040,7740,28720,2880,11780,9680,9435,16350,8390,111015
2008,215495,7085,31750,16340,1320,1365,9440,3120,8265,15860,7315,101860,16055,7970,30040,2825,12450,10505,9445,15660,8695,113645
2009,204460,7235,31565,17370,1400,1455,9900,3305,8845,16920,7070,105065,16440,8110,31990,3000,12690,10475,10050,15440,7640,99395
2010,221075,7225,30655,17730,1430,1575,9940,3260,9060,17550,6655,105080,17300,8445,33355,3100,12685,10670,10075,14495,5865,98690
2011,216320,7425,29800,17640,1475,1525,9745,3290,8535,17395,5880,102710,17655,8545,32590,3115,12635,10205,10475,13370,5020,95955
2012,214785,7585,28065,18870,1530,1760,9905,3320,8575,17835,5265,102710,17830,8320,31910,3110,11690,9700,11000,12735,5780,94245
2013,230805,7745,28440,20980,1540,1750,10760,3770,9840,19195,5245,109265,19685,8300,32305,3175,12180,10595,11175,13275,10840,101845
2014,232570,7710,28280,21625,1555,1835,11085,4040,10360,20135,5530,112155,20095,8090,32640,3360,11385,10565,11405,13680,9190,100315
2015,235565,7655,29130,21850,1520,1975,11665,4405,10690,20250,5600,114740,20510,8280,32580,3350,11155,10815,11900,13905,8320,100305
2016,241935,7640,30165,22935,1545,2125,11770,4330,11600,20620,5820,118550,20335,8425,32460,3495,11770,11285,12215,15240,8165,103055
2017,247110,7655,30690,24020,1550,2345,11890,4665,12640,20670,6150,122275,21205,8755,33215,3440,12375,11730,12170,15635,6300,103620
2018,253475,7795,31175,24765,1630,2370,11810,5040,13960,20855,6380,125780,21710,9280,34030,3405,12620,11650,12575,16365,6065,105990
