year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,136335,5635,15005,11230,1155,1455,6650,2055,7135,11275,4820,66415,8690,4260,18330,2265,5880,4830,5330,6225,14100,69910
2001,144800,5700,16920,11690,1195,1365,6370,2255,8085,12300,4735,70615,9320,4435,19470,2640,5885,4950,5755,7480,14270,74205
2002,148330,5905,17790,13985,890,1300,7180,2590,9025,12345,4725,75735,11165,5355,22005,3105,7660,6865,7200,6875,2350,72580
2003,151110,6255,17945,14505,1210,1215,7365,2945,8720,12295,4760,77215,12015,5715,21910,3145,7820,6785,7640,7080,1780,73890
2004,186830,7005,25925,15590,1270,1325,7905,3560,9225,14180,6270,92255,14620,6995,26830,3525,8575,7580,8120,16010,2320,94575
2005,148810,6075,18600,14160,1200,1030,7665,2810,7275,11375,4875,75065,12670,6200,20005,2580,8285,6760,8070,8440,740,73750
2006,152795,6190,18710,14740,1300,910,8165,2915,7350,12055,5160,77495,12925,6580,20415,2515,8540,6830,8165,8600,740,75310
2007,149605,6135,17770,14660,1230,885,8610,2945,6655,12135,5180,76205,12530,6650,20025,2335,8485,6845,8535,7725,275,73405
2008,156820,6250,18435,15210,1260,990,8755,2975,7070,13075,5455,79475,12955,6950,21170,2375,9615,7620,8570,7880,220,77355
2009,146505,6380,18555,16110,1320,1030,9240,3165,7770,14160,5445,83175,13590,6975,23025,2535,8970,7375,9125,7805,360,63320
2010,166340,6490,19250,16325,1380,1085,9415,3140,8090,14515,5090,84780,14420,7280,24355,2590,9025,7600,9230,6830,225,64255
2011,167350,6720,18805,16505,1415,1090,9235,3190,7580,14575,4525,83655,15045,7315,25345,2650,8880,7565,9900,6825,170,66040
2012,167055,6825,17935,17160,1480,1285,9370,3210,7695,15105,4185,84255,15240,7150,24640,2670,8970,7440,9870,6625,200,64975
2013,170800,6865,18065,17725,1480,1365,9785,3210,8330,15695,4200,86715,15775,7015,25040,2705,8800,7585,9965,6915,275,64390
2014,174840,6815,18135,18080,1510,1430,10120,3445,8820,16455,4380,89200,16185,6885,25485,2835,8855,8090,10045,6830,430,65540
2015,179460,6765,18830,18270,1490,1580,10640,3770,9075,16665,4415,91495,16655,7045,25800,2860,8790,8485,10640,7145,540,67445
2016,183795,6710,19640,19040,1490,1635,10755,3725,9860,17180,4555,94590,16640,7110,26110,3010,9090,8745,10655,7535,305,68875
2017,189960,6730,20470,19725,1475,1670,10775,4020,10595,17235,4840,97535,17355,7470,27090,3005,9230,9085,11135,7915,135,71215
2018,195705,6915,21020,19975,1535,1660,10650,4355,11820,17425,5045,100395,17845,8025,28205,2995,9260,8960,11430,8455,145,73610
