year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,43970,585,7910,650,35,70,320,105,620,1595,940,12830,2375,700,6725,210,1225,825,475,6760,11860,31155
2001,52180,615,9840,825,30,85,345,660,880,2625,1130,17035,2745,905,8545,310,1280,755,610,7080,12900,35130
2002,49035,645,10240,930,45,95,420,220,1195,2175,1345,17310,3050,1040,7815,420,1310,800,695,11945,4655,31730
2003,54045,655,11300,1080,60,190,430,245,1570,2390,1360,19280,3300,1065,7490,380,1115,885,685,13745,6105,34770
2004,23770,30,4150,285,0,115,30,25,610,630,275,6150,1445,125,1715,70,845,345,460,5220,7390,17615
2005,67020,865,12415,1975,105,420,860,405,3120,3610,1860,25635,3870,1620,9625,735,1630,1275,965,9645,12020,41385
2006,70735,920,11910,2220,105,485,1210,465,3325,3865,2090,26595,4110,1570,10100,710,1935,1325,1050,10245,13095,44140
2007,60580,710,13410,1205,75,465,935,205,1350,2835,1780,22970,3510,1090,8695,545,3295,2835,900,8625,8115,37610
2008,58675,835,13315,1130,60,375,685,145,1195,2785,1860,22385,3100,1020,8870,450,2835,2885,875,7780,8475,36290
2009,57955,855,13010,1260,80,425,660,140,1075,2760,1625,21890,2850,1135,8965,465,3720,3100,925,7635,7280,36075
2010,54735,735,11405,1405,50,490,525,120,970,3035,1565,20300,2880,1165,9000,510,3660,3070,845,7665,5640,34435
2011,48970,705,10995,1135,60,435,510,100,955,2820,1355,19055,2610,1230,7245,465,3755,2640,575,6545,4850,29915
2012,47730,760,10130,1710,50,475,535,110,880,2730,1080,18455,2590,1170,7270,440,2720,2260,1130,6110,5580,29270
2013,60005,880,10375,3255,60,385,975,560,1510,3500,1045,22550,3910,1285,7265,470,3380,3010,1210,6360,10565,37455
2014,57730,895,10145,3545,45,405,965,595,1540,3680,1150,22955,3910,1205,7155,525,2530,2475,1360,6850,8760,34775
2015,56105,890,10300,3580,30,395,1025,635,1615,3585,1185,23245,3855,1235,6780,490,2365,2330,1260,6760,7780,32860
2016,58140,930,10525,3895,55,490,1015,605,1740,3440,1265,23960,3695,1315,6350,485,2680,2540,1560,7705,7860,34180
2017,57150,925,10220,4295,75,675,1115,645,2045,3435,1310,24740,3850,1285,6125,435,3145,2645,1035,7720,6165,32405
2018,57770,880,10155,4790,95,710,1160,685,2140,3430,1335,25385,3865,1255,5825,410,3360,2690,1145,7910,5920,32380
