year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,,46145,233320,93730,3815,15625,69285,20520,110400,129925,44000,766765,141665,60160,237615,28795,96335,64590,107895,149270,337540,1223865
2001,,47640,244755,94560,4105,15500,66845,21800,118345,132580,44830,790960,151975,63870,246780,32570,99165,70505,115485,161075,353700,1295125
2002,,48915,266415,125860,3840,14980,71040,26190,134035,131575,45830,868680,168920,77680,284550,42175,130225,87630,132675,169800,212785,1306440
2003,,52965,288580,147355,4080,15330,73730,30770,137650,134805,47835,933100,192115,83990,300065,45590,135220,101975,140195,192585,122600,1314335
2004,,55960,300140,149520,4380,15150,78685,31370,131280,137825,49715,954025,194580,86655,299310,46765,134575,99245,148390,200905,123095,1333520
2005,,59585,309405,155220,4465,17275,82740,32425,120150,136695,56445,974405,201075,89580,304405,47805,139190,101445,156180,207705,114315,1361700
2006,,63245,300900,164215,4875,16085,83905,33790,106910,140580,60525,975030,201720,90845,310255,47935,139715,103215,160525,216330,117245,1387785
2007,,61810,287125,161600,4850,17680,82130,34120,95575,139435,63085,947410,198875,89245,310455,47965,136050,96620,158890,202300,118300,1358700
2008,,63640,293670,171800,5135,18250,86045,36055,96280,148070,64920,983865,206050,92110,330255,49065,131170,94120,163490,217200,128725,1412185
2009,,65800,305220,183035,5360,18920,91030,39125,100785,156985,65990,1032250,213750,94380,353910,53130,138090,96290,173825,226385,111410,1461170
2010,,66840,299800,190035,5540,20790,93580,41110,99025,160885,62780,1040385,218135,92950,358295,53680,134720,96760,176700,223730,105955,1460925
2011,,67955,299940,199275,5575,21165,94955,43170,95670,162015,58355,1048075,222375,93575,363860,54860,135985,99165,182085,201720,94945,1448570
2012,,66745,279940,201520,5760,19020,93050,42235,89500,158115,52695,1008580,213360,89190,337245,50425,124280,92740,172860,179910,71680,1331690
2013,,67360,273235,207520,5935,18360,93270,42225,91565,159010,49160,1007640,210580,89225,336600,49525,117660,89615,168860,173015,56635,1291715
2014,,66005,275450,211165,5900,19205,93760,42395,93250,161440,48255,1016825,207910,87595,326945,48610,111340,86330,166930,164395,49200,1249255
2015,,65550,284935,217310,6775,19025,94920,43155,96260,163255,49385,1040570,214145,88665,326500,49320,108355,85375,169825,156150,41920,1240255
2016,,65110,290770,226395,7145,18655,95170,43880,101145,165155,51265,1064690,221710,89730,333425,50420,107040,85455,175700,151060,38640,1253180
2017,,65875,288065,233970,7860,18680,95720,44575,107250,164975,53620,1080590,229360,92165,342970,51360,103545,84115,178415,145445,35120,1262495
2018,,67755,290445,241755,8400,19320,94845,45910,114730,165180,55345,1103685,237480,95260,358480,51310,99365,81965,181830,142825,31765,1280280
