year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,1252655,38040,123545,81745,3625,12540,60535,18825,82120,99860,27785,548620,101450,46485,149675,23435,68550,40900,93190,74855,105490,704030
2001,1299035,39430,131355,82070,3925,12525,58490,19310,90005,101615,27175,565900,103350,49740,157120,26885,68275,41955,99205,78380,108255,733165
2002,1362070,40675,140950,108620,3670,11910,62720,22945,102270,101945,27490,623195,117255,59500,189335,35720,88960,56540,113620,68115,9805,738850
2003,1409510,44320,148840,114315,3900,12220,63185,23495,97475,101800,29015,638565,124095,62460,194490,38695,87665,59890,119730,73200,10710,770935
2004,1475125,47345,165585,119120,4180,12040,64300,24555,90625,104695,31740,664185,131395,66470,203050,40200,86860,60755,126695,86455,9065,810945
2005,1433020,47815,160870,119495,4095,11615,63030,24045,78275,97640,33275,640155,129245,65720,192115,39855,85515,59470,132475,80540,7930,792865
2006,1451740,50025,160425,124770,4455,11270,64280,25235,72165,100115,35295,648035,130470,66370,195935,40180,86315,60120,135695,81105,7540,803730
2007,1480380,51490,155600,128335,4570,11700,66590,26375,69120,104295,37360,655435,135025,67260,204210,41465,87920,60905,140400,81510,6260,824955
2008,1442825,52595,156105,133825,4705,12195,68985,27770,71745,110570,39875,678370,142605,69740,220890,42325,89765,61790,47345,84645,5370,764475
2009,1603035,54050,162365,142730,4810,13035,72680,30010,75800,120015,42530,718025,150240,72240,240135,45905,93190,63445,154235,89170,5535,884980
2010,1677345,55085,166620,149100,4970,13735,76095,31920,76720,124280,41945,740485,155890,72685,249415,47375,94535,65195,158715,88720,4355,718750
2011,1721400,55865,168090,157355,5090,14410,79130,33665,74600,125410,40005,753635,163005,73455,260180,49095,96780,66400,164715,88790,5335,745380
2012,1682150,55330,163195,159770,5250,13555,79785,34250,71260,124025,37695,744130,161565,71050,254280,45405,92790,64325,157950,86325,4335,729150
2013,1696025,55430,161045,166365,5345,13425,81735,34910,73440,127205,36210,755110,163495,71165,260175,45125,90690,63745,154965,87930,3595,730310
2014,1696860,55200,161250,170810,5430,13715,83360,35405,75260,130160,35340,765940,165315,70820,257435,44545,87325,63280,152995,85565,3615,722995
2015,1740585,55490,169860,178130,5600,13860,85215,36435,78035,132300,35725,790660,173080,72040,263080,45735,86080,65640,156685,84045,3560,735785
2016,1798050,55390,182090,186575,5840,13885,86060,37585,82995,135325,36815,822560,182290,73935,273925,46825,85635,67530,160080,82155,3105,753790
2017,1844545,56005,187135,191655,6185,13785,86810,38475,87770,136425,39171,843030,190860,76430,285630,47860,83260,67825,162605,82415,4650,772170
2018,1883160,58215,190220,152265,6485,14390,85410,39615,93615,136925,40160,860630,197620,79755,298595,47740,80135,66395,165180,82405,4695,785060
