year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,737970,8105,109775,11985,190,3090,8750,1690,28280,30070,16215,218150,40220,13670,87940,5355,27785,23690,14705,74415,232045,519825
2001,787035,8210,113400,12490,180,2975,8355,2485,28340,30965,17655,225055,48625,14135,89660,5685,30890,28550,16275,82695,245440,561955
2002,813045,8235,125460,17240,170,3070,8315,3250,31765,29630,18340,245475,51665,18180,95210,6455,41260,31090,19060,101685,202980,567585
2003,837930,8645,139745,33045,185,3115,10545,7280,40175,33000,18820,294555,68020,21535,105575,6895,47555,42080,20460,119380,111890,543390
2004,812415,8610,134555,30400,200,3110,14385,6815,40660,33135,17980,289850,63185,20185,96260,6565,47710,38490,21695,114445,114030,522565
2005,903085,11765,148535,35720,375,5655,19710,8380,41885,39055,23165,334245,71845,23865,112285,7945,53670,41980,23710,127165,106375,568840
2006,911080,13215,140475,39445,420,4815,19625,8570,34745,40470,25235,327015,71245,24475,114315,7765,53405,43095,24835,135220,109710,584065
2007,825720,10320,131520,33255,280,5985,15540,7750,26460,35135,25730,291975,63845,21980,106240,6510,48130,35725,18490,120785,112040,533745
2008,953230,11040,137565,37965,430,6050,17070,8290,24525,37505,25060,305500,63450,22365,109365,6740,41400,32340,116160,132555,123355,647730
2009,861260,11750,142855,40305,545,5885,18350,9120,24980,36970,23460,314220,63510,22135,113775,7230,44900,32840,19590,137215,105875,547070
2010,823950,11755,133180,40935,570,7050,17485,9190,22300,36605,20830,299885,62245,20265,108880,6305,40185,31565,17985,135015,101605,524050
2011,775240,12090,131850,41920,480,6755,15830,9500,21070,36610,18345,294435,59370,20120,103685,5765,39205,32765,17365,112930,89610,480815
2012,658125,11415,116745,41750,515,5465,13265,7985,18240,34090,15005,264460,51795,18140,82965,5020,31490,28415,14910,93590,67345,393670
2013,603330,11930,112195,41155,590,4935,11525,7315,18125,31805,12950,252525,47080,18060,76420,4395,26975,25865,13895,85085,53045,350820
2014,569215,10805,114195,40355,470,5485,10400,6990,17990,31280,12915,250875,42590,16775,69510,4060,24015,23050,13935,78830,45580,318340
2015,540245,10060,115070,39180,1175,5165,9705,6725,18230,30955,13660,249915,41070,16625,63420,3580,22280,19735,13140,72105,38365,290330
2016,519830,9725,108685,39825,1310,4775,9110,6295,18150,29830,14450,242155,39420,15795,59500,3600,21405,17925,15620,68900,35530,277675
2017,498550,9875,100930,42315,1675,4895,8905,6105,19480,28545,14449,237560,38500,15740,57340,3500,20280,16290,15810,63040,30475,260980
2018,500810,9545,100235,89495,1915,4930,9430,6295,21115,28255,15185,243070,39860,15500,59880,3570,19235,15570,16650,60420,27075,257740
