year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,107300,2400,10375,6330,0,1195,3615,745,5240,7560,2430,39890,8845,3525,13190,1565,5715,4540,5705,8735,15580,67400
2001,113405,2660,10655,6485,0,1270,3700,710,5515,7525,2425,40945,9805,3475,14645,2245,5855,6760,6285,8995,14390,72455
2002,119535,2420,10995,9005,0,1320,4660,885,5690,7580,2175,44730,10795,4265,15735,2645,11410,8180,8150,10245,3380,74805
2003,121465,2975,11385,9065,0,1210,4660,880,5300,7705,2220,45400,10610,4765,15040,2750,12350,7525,8600,11640,2780,76060
2004,126620,3450,12005,9680,0,1200,4375,880,5025,7835,2225,46675,11245,4675,14830,2770,13535,8230,8825,12065,3760,79935
2005,129230,3745,12585,10285,0,1120,4700,890,4655,7875,2425,48280,11430,4555,16010,3230,13055,8165,9445,12010,3050,80950
2006,131765,3960,13250,10360,0,1195,4495,910,4720,8000,2470,49360,11845,4570,16925,3265,12670,8265,9510,12285,3080,82415
2007,125540,3675,12235,9610,0,1175,4495,880,4565,7820,2405,46860,11600,4460,16235,2830,13365,6170,8780,12160,3085,78685
2008,126475,4180,12500,10085,0,1185,4580,985,4575,7795,2715,48600,10175,4300,17880,3125,9355,6195,8750,12350,5750,77880
2009,119515,4205,12535,10985,0,1180,4760,1095,4965,8570,2730,51025,8370,4540,20305,3210,9430,5920,9315,12465,3305,68490
2010,131005,4295,12450,11690,0,1150,4915,1225,4925,8960,2750,52360,9060,4545,22075,3180,8470,5485,9375,12540,3920,69590
2011,131185,4235,12710,12470,0,1105,5460,1305,4650,9575,2710,54220,9140,4630,21530,3080,8550,4810,9480,12110,3625,67815
2012,128780,4005,12700,12990,0,1115,5290,1330,4720,10195,2105,54450,9230,4475,20345,2700,7950,4440,9270,12565,3355,65100
2013,137135,4055,12515,15150,0,1290,5570,1595,5640,10260,1940,58015,10010,4185,21665,2400,8090,4830,9140,13110,5690,69110
2014,132965,3850,12600,15990,0,1355,5680,1610,5360,10400,1910,58755,9690,4015,19860,2360,7590,4495,8590,12060,5550,64520
2015,128675,3565,14170,15465,0,1350,5815,1605,5165,9785,2050,58970,10550,4060,17110,2295,7500,4370,8465,11435,3930,59165
2016,129395,3370,14480,16285,0,1345,5885,1630,5400,10015,2110,60520,11295,4140,16590,2470,7405,4500,8390,10070,4020,57585
2017,129585,3180,15255,17060,0,1315,5790,1600,5585,9865,2135,61785,11570,4210,15280,2455,7560,4270,8580,8505,5380,56240
2018,132205,3210,15750,17545,0,1290,6190,1650,6135,9490,2215,63475,12335,4415,16015,2540,7230,4060,8725,8155,5255,56395
