year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,68400,1570,6885,5940,0,1000,3140,735,3285,4330,1420,28305,5340,2995,7730,1040,4025,2900,5225,5255,5565,40075
2001,70480,1780,7200,5930,0,1000,3305,700,3500,4410,1280,29105,5480,2985,8670,1630,3995,2800,5620,5185,5005,41370
2002,73530,1620,7235,7995,0,975,4020,870,3640,4820,1270,32445,5930,3555,9370,1835,5295,3805,6645,4325,320,41080
2003,74880,1890,7485,8125,0,890,4075,860,3615,4985,1285,33210,5955,3980,8880,1975,5270,4025,6830,4445,310,41670
2004,76610,2055,7580,8595,0,850,3985,860,3370,5015,1370,33680,5990,4020,8990,1935,5540,4330,6980,4855,285,42925
2005,74980,2135,7325,8655,0,770,3905,840,2995,4900,1330,32855,6040,3810,8950,2005,5180,3805,7305,4770,260,42125
2006,77195,2250,7625,8855,0,815,3985,865,3265,5170,1395,34225,6335,3835,9365,2055,5185,3850,7215,4830,310,42980
2007,78225,2245,7345,8935,0,890,4290,875,3345,5090,1390,34405,5985,3960,9800,2045,5470,3770,7595,4900,300,43825
2008,80985,2470,7295,9205,0,890,4260,975,3645,5135,1540,35415,6295,3865,11250,2225,5310,3820,7685,4865,260,45575
2009,79645,2505,7715,10120,0,900,4585,1090,4020,6045,1680,38660,6305,4190,12960,2365,5905,3925,8160,5290,235,40965
2010,91830,2550,7620,10715,0,910,4590,1210,4090,6525,1710,39920,6810,4160,15130,2425,5710,3950,8300,5290,145,42860
2011,93200,2400,7855,11345,0,885,5020,1275,3785,6755,1435,40755,6880,4220,15640,2385,5635,3555,8365,5645,95,43280
2012,92920,2470,7490,11815,0,870,5090,1285,3830,6675,1355,40880,6940,3990,16170,1960,5710,3440,8170,5505,155,42810
2013,94245,2470,7320,12295,0,945,5100,1315,4500,6885,1190,42020,7615,3445,17235,1870,5220,3310,8000,5445,80,42210
2014,92050,2495,7280,12715,0,970,5225,1295,4250,7090,1210,42525,7950,3285,15385,1990,5005,3110,7455,5240,100,39835
2015,91800,2530,7900,13565,0,995,5400,1315,4180,7270,1285,44445,8490,3355,13405,1960,4765,3180,7425,4600,185,36815
2016,93550,2560,8510,14350,0,1005,5410,1315,4430,7540,1305,46425,9240,3375,12655,2070,4605,3385,7350,4425,25,35835
2017,95630,2505,9330,14590,0,995,5330,1275,4520,7480,1370,47395,9465,3455,12020,2070,4495,3310,7535,4205,1695,36675
2018,97020,2580,9935,14520,0,1030,5260,1255,4960,7270,1515,48330,9815,3580,12600,2170,4065,3095,7475,4055,1830,36355
