year,totalStudents,medDentist,subAlliedToMed,bioScience,vetScience,agri,phyScience,mathScience,computerSciences,engTech,archBuildPlan,totalScienceSubjects,socialStudies,law,BusAdmin,MassCommDoc,languages,histPhilosophical,artDesign,education,combined,totalNonScienceSubjects
2000,38900,830,3490,390,0,195,475,10,1955,3230,1010,11585,3505,530,5460,525,1690,1640,480,3480,10015,27325
2001,42925,880,3455,555,0,270,395,10,2015,3115,1145,11840,4325,490,5975,615,1860,3960,665,3810,9385,31085
2002,46005,800,3760,1010,0,345,640,15,2050,2760,905,12285,4865,710,6365,810,6115,4375,1505,5920,3060,33725
2003,46585,1085,3900,940,0,320,585,20,1685,2720,935,12190,4655,785,6160,775,7080,3500,1770,7195,2470,34390
2004,50010,1395,4425,1085,0,350,390,20,1655,2820,855,12995,5255,655,5840,835,7995,3900,1845,7210,3475,37010
2005,54250,1610,5260,1630,0,350,795,50,1660,2975,1095,15425,5390,745,7060,1225,7875,4360,2140,7240,2790,38825
2006,54570,1710,5625,1505,0,380,510,45,1455,2830,1075,15135,5510,735,7560,1210,7485,4415,2295,7455,2770,39435
2007,47315,1430,4890,675,0,285,205,5,1220,2730,1015,12455,5615,500,6435,785,7895,2400,1185,7260,2785,34860
2008,45490,1710,5205,880,0,295,320,10,930,2660,1175,13185,3880,435,6630,900,4045,2375,1065,7485,5490,32305
2009,39870,1700,4820,865,0,280,175,5,945,2525,1050,12365,2065,350,7345,845,3525,1995,1155,7175,3070,27525
2010,39175,1745,4830,975,0,240,325,15,835,2435,1040,12440,2250,385,6945,755,2760,1535,1075,7250,3775,26730
2011,37985,1835,4855,1125,0,220,440,30,865,2820,1275,13465,2260,410,5890,695,2915,1255,1115,6465,3530,24535
2012,35860,1535,5210,1175,0,245,200,45,890,3520,750,13570,2290,485,4175,740,2240,1000,1100,7060,3200,22290
2013,42890,1585,5195,2855,0,345,470,280,1140,3375,750,15995,2395,740,4430,530,2870,1520,1140,7665,5610,26900
2014,40915,1355,5320,3275,0,385,455,315,1110,3310,700,16230,1740,730,4475,370,2585,1385,1135,6820,5450,24685
2015,36875,1035,6270,1900,0,355,415,290,985,2515,765,14525,2060,705,3705,335,2735,1190,1040,6835,3745,22350
2016,35845,810,5970,1935,0,340,475,315,970,2475,805,14095,2055,765,3935,400,2800,1115,1040,5645,3995,21750
2017,33955,675,5925,2470,0,320,460,325,1065,2385,765,14390,2105,755,3260,385,3065,960,1045,4300,3685,19565
2018,35185,630,5815,3025,0,260,930,395,1175,2220,700,15145,2520,835,3415,370,3165,965,1250,4100,3425,20040
